lemma;inflection;pos;syllable
πάω;πας,πάει,πάμε,πάτε,πάνε,πάω,πας,πάει,πάμε,πάτε,πάνε,πήγα,πήγες,πήγε,πήγαμε,πήγατε,πήγαν,πήγαινα,πήγαινες,πήγαινε,πηγαίναμε,πηγαίνατε,πήγαινα,νπήγαινε,πηγαίνετε,πήγαινε,πάτε;verb;2
πηγαίνω;πηγαίνω,πας,πάει,πάμε,πάτε,πάνε,πάω,πας,πάει,πάμε,πάτε,πάνε,πήγα,πήγες,πήγε,πήγαμε,πήγατε,πήγαν,πήγαινα,πήγαινες,πήγαινε,πηγαίναμε,πηγαίνατε,πήγαιναν,πήγαινε,πηγαίνετε,πήγαινε,πάτε;verb;3
δεύτερος;δεύτερον;quant;3
ζητάω;ζητώ,ζητούσα,ζήταγα,ζητάω,ζητώ,ζητώντας,ζητάς,ζητείς,ζητούσες,ζήταγες,ζήτα,ζήταγε,ζητάει,ζητά,ζητεί,ζητούσε,ζητάμε,ζητούμε,ζητούσαμε,ζητάγαμε,ζητάτε,ζητείτε,ζητούσατε,ζητάγατε,ζητάν,ζητούν,ζητούσαν,ζητούσανε,ζήταγαν,ζητάγανε,ζητάνε,ζητούνε,ζήτησα,ζητήσω,ζητήσει,ζήτησες,ζητήσεις,ζήτησε,ζητήσαμε,ζητήσουμε,ζητήσατε,ζητήσετε,ζητήστε,ζήτησαν,ζητήσανε,ζητήσαν,ζητήσουν,ζητήσουνε,ζητημένο;verb;3
καθώς;;adv;2
δηλώνω;;verb;3
σχέση;;noun;2
απ;;prep;1
σύμφωνο;;noun;3
επίσης;;adv;3
δηλαδή;;part;3
τρόπος;;noun;2
περιοχή;;noun;4
πριν;;adv;1
ειδικός;;adj;3
ούτε;;conj;2
εδώ;εδώθε,δώθε;adv;2
μέλος;;noun;2
τρεις;;quant;1
πρόγραμμα;;noun;3
γενικός;γενικότερος,γενικότερο,γενικότερα;adj;3
αποτελώ;αποτελείς,αποτελεί,αποτελούμε,αποτελείτε,αποτελούν,αποτελέσω,αποτελέσεις,αποτελέσει,αποτελέσουμε,αποτελέσετε,αποτελέσουν,αποτέλεσα,αποτέλεσες,αποτέλεσε,αποτελέσαμε,αποτελέσατε,αποτέλεσαν,αποτελούσα,αποτελούσες,αποτελούσε,αποτελούσαμε,αποτελούσατε,αποτελούσαν,αποτελείτε,αποτέλεσε,αποτελέστε;verb;4
αποτελούμαι;αποτελούμουν,αποτελείσαι,αποτελούσουν,αποτελείται,αποτελούνταν,αποτελούμαστε,αποτελούμασταν,αποτελείστε,αποτελούσασταν,αποτελούσαστε,αποτελούνται,αποτελέστηκα,αποτελεστώ,αποτελεστεί,αποτελέστηκες,αποτελεστείς,αποτελέσου,αποτελέστηκε,αποτελεστήκαμε,αποτελεστούμε,αποτελεστήκατε,αποτελεστείτε,αποτελέστηκαν,αποτελεστήκαν,αποτελεστήκανε,αποτελεστούνε,αποτελεστούν;verb;
κράτος;;noun;2
άνθρωπος;;noun;3
στοιχείο;;noun;3
σχετικός;;adj;3
μικρός;μικρότερος,μικρότερη,μικρότερο,μικρότερου,μικρότερης,μικρότερε,μικρότεροι,μικρότερες,μικρότερα,μικρότερων,μικρότερους;adj;2
σημαντικός;σημαντικότερο,σημαντικότερος;adj;4
σύστημα;;noun;3
θέτω;θέτεις,θέτει,θέτουμε,θέτετε,θέτουν,θέσω,θέσεις,θέσει,θέσουμε,θέσετε,θέσουν,έθεσα,έθεσες,έθεσε,θέσαμε,θέσατε,έθεσα,έθετόμουν,έθετόσουν,έθετόταν,έθετόμαστε,έθετόσαστε,έθετόνταν,θέστε,θέτεις,θέτετε,έθετες,έθετες,θέτε,έθετε,θέτουμε,θέταμε,θέτουνε,έθεταν,θέταν,θέτανε,έθεσαν,θέστε,θέσουμε,θέσετε,θέσει,θέσε,θέσουνε;verb;2
ορίζω;;verb;3
αγορά;;noun;3
περνάω;περνάω,περνώ,περνάς,περνά,περνούμε,περνάτε,περνούν,περάσω,περάσεις,περάσει,περάσουμε,περάσετε,περάσουν,πέρασα,πέρασες,πέρασε,περάσαμε,περάσατε,πέρασαν,περνούσα,περνούσες,περνούσε,περνούσαμε,περνούσατε,περνούσαν,πέρνα,περνάτε,πέρασε,περάστε;verb;3
τότε;;adv;2
κόμμα;;noun;2
παρά;;prep;2
κόσμος;;noun;2
ποιος;;pron;1
έρχομαι;έρχεσαι,έρχεται,ερχόμαστε,έρχεστε,έρχονται,έρθω,έρθεις,έρθει,έρθουμε,έρθετε,έρθουν,ήρθα,ήρθες,ήρθε,ήρθαμε,ήρθατε,ήρθαν,ερχόμουν,ερχόσουν,ερχόταν(ε),ερχόμασταν,ερχόσασταν,έρχοντανέλα,ελάτε,ναέρχεσαι,έρχεστε;verb;3
